Symbol,Name,Exchange,Sector,Sector Name,S&P 500,Industry
AORT,"Artivion, Inc.",NYSE,XLV,,False,Medical Equipment
AOS,Smith AO Corp.,NYSE,XLI,,True,Diversified Industrials
AOSL,Alpha and Omega Semiconductor Ltd.,NASD,XLK,,False,Software
AOUT,American Outdoor Brands Inc.,NASD,XLY,,False,Recreational Services
AP,Ampco Pittsburgh Corp.,NYSE,XLB,,False,Commodity Chemicals
APA,APA Corporation,NASD,XLE,,True,Exploration & Production
APAM,Artisan Partners Asset Management Inc.,NYSE,XLF,,False,Asset Managers
APCX,AppTech Payments Corp.,NASD,XLK,,False,Electronic Equipment
APD,"Air Products and Chemicals, Inc.",NYSE,XLB,,True,General Mining
APDN,Applied DNA Sciences Inc.,NASD,XLK,,False,Electrical Components
APE,AMC Entertainment Holdings Inc.,NYSE,XLY,,False,Durable Household Products
APEI,American Public Education Inc.,NASD,XLY,,False,Specialty Retailers
APG,APi Group Corp.,NYSE,XLI,,False,Building Materials
APH,Amphenol Corp.,NYSE,XLK,,True,Computer Services
API,Agora Inc,NASD,XLK,,False,Software
APLD,Applied Digital Corporation,NASD,XLK,,False,Electrical Components
APLE,"Apple Hospitality REIT, Inc.",NYSE,XLRE,,False,Industrial & Office REITs
APLS,"Apellis Pharmaceuticals, Inc.",NASD,XLV,,False,Biotechnology
APLT,"Applied Therapeutics, Inc.",NASD,XLV,,False,Biotechnology
APM,Aptorum Group Ltd.,NASD,XLV,,False,Pharmaceuticals
APO,Apollo Global Management LLC,NYSE,XLF,,True,Asset Managers
APOG,"Apogee Enterprises, Inc.",NASD,XLI,,False,Business Support Services
APP,Applovin Corp.,NASD,XLK,,False,Software
APPF,"AppFolio, Inc.",NASD,XLK,,False,Software
APPHQ,"AppHarvest, Inc.",OTCM,XLY,,False,Clothing & Accessories
APPN,Appian Corp,NASD,XLK,,False,Software
APPS,"Digital Turbine, Inc.",NASD,XLK,,False,Software
APRE,Aprea Therapeutics Inc.,NASD,XLV,,False,Biotechnology
APRN,"Blue Apron Holdings, Inc.",NYSE,XLY,,False,Specialty Retailers
APT,"Alpha Pro Tech, Ltd.",AMEX,XLY,,False,Auto Parts
APTO,"Aptose Biosciences, Inc.",NASD,XLV,,False,Pharmaceuticals
APTV,Aptiv Plc,NYSE,XLY,,True,Restaurants & Bars
APTX,Aptinyx Inc.,OTCM,XLV,,False,Biotechnology
APWC,Asia Pacific Wire & Cable Corp. Ltd.,NASD,XLK,,False,Computer Services
APYX,Apyx Medical Corp.,NASD,XLV,,False,Medical Equipment
AQB,"AquaBounty Technologies, Inc.",NASD,XLV,,False,Biotechnology
